,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
0,4011107201,Alabama,Duke,1,1,15,0,22,78,PUNT,1,12,57,19,81,3,False,-3,401110720
1,4011107202,Duke,Alabama,2,1,12,57,55,55,PUNT,1,11,49,52,52,3,False,3,401110720
2,4011107203,Alabama,Duke,3,1,11,49,17,83,FUMBLE,1,11,24,23,77,2,False,9,401110720
3,4011107204,Duke,Alabama,4,1,11,24,26,26,DOWNS,1,8,28,7,7,7,False,19,401110720
4,4011107205,Alabama,Duke,5,1,8,28,7,93,MISSED FG,1,3,25,69,31,12,False,62,401110720
5,4011107206,Duke,Alabama,6,1,3,25,68,68,PUNT,1,0,51,48,48,5,False,20,401110720
6,4011107207,Alabama,Duke,7,1,0,51,20,80,TD,2,10,2,100,0,12,True,80,401110720
7,4011107208,Duke,Alabama,8,2,10,2,75,75,PUNT,2,8,24,81,81,3,False,-6,401110720
8,4011107209,Alabama,Duke,9,2,8,24,24,76,TD,2,5,13,100,0,7,True,76,401110720
9,40111072010,Duke,Alabama,10,2,5,13,75,75,PUNT,2,3,18,67,67,3,False,8,401110720
10,40111072011,Alabama,Duke,11,2,3,18,33,67,PUNT,2,1,22,40,60,3,False,7,401110720
11,40111072012,Duke,Alabama,12,2,1,22,81,81,FG,2,0,11,12,12,7,True,69,401110720
12,40111072013,Alabama,Duke,13,2,0,11,29,71,END OF HALF,2,0,0,27,73,1,False,-2,401110720
13,40111072014,Duke,Alabama,14,3,15,0,75,75,DOWNS,3,12,11,37,37,9,False,40,401110720
14,40111072015,Alabama,Duke,15,3,12,11,35,65,TD,3,8,34,100,0,9,True,65,401110720
15,40111072016,Duke,Alabama,16,3,8,34,75,75,FUMBLE,3,8,25,75,75,1,False,3,401110720
16,40111072017,Alabama,Duke,17,3,8,25,72,28,TD,3,7,32,100,0,3,True,28,401110720
17,40111072018,Duke,Alabama,18,3,7,32,75,75,PUNT,3,5,56,70,70,3,False,5,401110720
18,40111072019,Alabama,Duke,19,3,5,56,10,90,TD,3,1,36,100,0,9,True,90,401110720
19,40111072020,Duke,Alabama,20,3,1,36,75,75,INT,3,0,21,50,50,3,False,25,401110720
20,40111072021,Alabama,Duke,21,3,0,21,26,74,MISSED FG,4,9,16,70,30,13,False,44,401110720
21,40111072022,Duke,Alabama,22,4,9,16,70,70,PUNT,4,7,15,64,64,3,False,6,401110720
22,40111072023,Alabama,Duke,23,4,7,15,51,49,TD,4,4,51,100,0,5,True,49,401110720
23,40111072024,Duke,Alabama,24,4,4,51,75,75,INT,4,0,40,40,40,8,False,35,401110720
24,40111072025,Alabama,Duke,25,4,0,40,20,80,END OF GAME,4,0,0,18,82,1,False,-2,401110720
25,4011107211,Portland State,Arkansas,1,1,15,0,75,75,FG,1,13,9,33,33,6,True,42,401110721
26,4011107212,Arkansas,Portland State,2,1,13,9,30,70,FG,1,9,40,84,16,9,True,54,401110721
27,4011107213,Portland State,Arkansas,3,1,9,40,75,75,PUNT,1,7,31,77,77,3,False,-2,401110721
28,4011107214,Arkansas,Portland State,4,1,7,31,36,64,TD,1,3,16,100,0,10,True,64,401110721
