,drive_id,offense,defense,drive_number,start_period,start_time_min,start_time_sec,start_yardline,start_ytg,drive_result,end_period,end_time_min,end_time_sec,end_yardline,end_ytg,num_plays,score,yards_gained,game_id
0,4010122461,Alabama,Louisville,1,1,15,0,35,65,TD,1,11,55,100,0,7,True,65,401012246
1,4010122462,Louisville,Alabama,2,1,11,55,75,75,PUNT,1,10,10,55,55,4,False,20,401012246
2,4010122463,Alabama,Louisville,3,1,10,10,20,80,FUMBLE,1,7,4,65,35,8,False,63,401012246
3,4010122464,Louisville,Alabama,4,1,7,4,83,83,PUNT,1,6,4,84,84,3,False,-1,401012246
4,4010122465,Alabama,Louisville,5,1,6,4,45,55,TD,1,4,4,100,0,6,True,55,401012246
5,4010122466,Louisville,Alabama,6,1,4,4,75,75,INT,2,14,16,26,26,8,False,49,401012246
6,4010122467,Alabama,Louisville,7,2,14,16,25,75,TD,2,11,24,100,0,6,True,75,401012246
7,4010122468,Louisville,Alabama,8,2,11,24,86,86,PUNT,2,8,5,55,55,6,False,31,401012246
8,4010122469,Alabama,Louisville,9,2,8,5,22,78,PUNT,2,6,18,41,59,5,False,19,401012246
9,40101224610,Louisville,Alabama,10,2,6,18,80,80,PUNT,2,4,45,60,60,4,False,20,401012246
10,40101224611,Alabama,Louisville,11,2,4,45,20,80,PUNT,2,2,2,53,47,6,False,33,401012246
11,40101224612,Louisville,Alabama,12,2,2,2,85,85,PUNT,2,0,27,91,91,3,False,-6,401012246
12,40101224613,Alabama,Louisville,13,2,0,27,75,25,TD,2,0,9,100,0,3,True,25,401012246
13,40101224614,Louisville,Alabama,14,2,0,9,75,75,END OF HALF,2,0,0,77,77,1,False,-2,401012246
14,40101224615,Louisville,Alabama,15,3,15,0,75,75,PUNT,3,11,10,65,65,6,False,10,401012246
15,40101224616,Alabama,Louisville,16,3,11,10,37,63,TD,3,10,3,100,0,4,True,63,401012246
16,40101224617,Louisville,Alabama,17,3,10,3,75,75,TD,3,6,27,3,3,10,True,75,401012246
17,40101224618,Alabama,Louisville,18,3,6,27,100,0,TD,3,6,16,100,0,0,True,0,401012246
18,40101224619,Louisville,Alabama,19,3,6,16,20,20,PUNT,3,4,1,80,80,3,False,-4,401012246
19,40101224620,Alabama,Louisville,20,3,4,1,42,58,FG,3,0,45,79,21,6,True,37,401012246
20,40101224621,Louisville,Alabama,21,3,0,45,94,94,PUNT,4,14,34,68,68,6,False,26,401012246
21,40101224622,Alabama,Louisville,22,4,14,34,21,79,MISSED FG,4,7,44,91,9,13,False,70,401012246
22,40101224623,Louisville,Alabama,23,4,7,44,80,80,INT TD,4,7,31,80,80,1,True,0,401012246
23,40101224624,Louisville,Alabama,24,4,7,31,22,22,DOWNS,4,5,38,5,5,5,False,32,401012246
24,40101224625,Alabama,Louisville,25,4,5,38,5,95,PUNT,4,3,39,14,86,3,False,9,401012246
25,40101224626,Louisville,Alabama,26,4,3,39,52,52,TD,4,1,55,0,0,5,True,52,401012246
26,40101224627,Alabama,Louisville,27,4,1,55,25,75,END OF GAME,4,0,0,35,65,3,False,10,401012246
27,4010122471,Eastern Illinois,Arkansas,1,1,15,0,74,74,FUMBLE,1,14,24,65,65,3,False,9,401012247
28,4010122472,Arkansas,Eastern Illinois,2,1,14,24,65,35,FG,1,12,43,83,17,6,True,18,401012247
29,4010122473,Eastern Illinois,Arkansas,3,1,12,43,75,75,MISSED FG,1,9,15,30,30,10,False,45,401012247
30,4010122474,Arkansas,Eastern Illinois,4,1,9,15,30,70,PUNT,1,6,25,56,44,7,False,26,401012247
31,4010122475,Eastern Illinois,Arkansas,5,1,6,25,91,91,FUMBLE,1,4,52,71,71,5,False,20,401012247
32,4010122476,Arkansas,Eastern Illinois,6,1,4,52,71,29,PUNT,1,2,23,63,37,3,False,-8,401012247
33,4010122477,Eastern Illinois,Arkansas,7,1,2,23,86,86,FUMBLE TD,1,1,46,99,99,2,True,-13,401012247
34,4010122479,Eastern Illinois,Arkansas,8,1,1,46,75,75,MISSED FG,2,11,18,12,12,15,False,63,401012247
35,40101224710,Arkansas,Eastern Illinois,9,2,11,18,20,80,TD,2,7,25,100,0,11,True,80,401012247
36,40101224711,Eastern Illinois,Arkansas,10,2,7,25,75,75,FUMBLE,2,7,12,73,73,1,False,2,401012247
37,40101224712,Arkansas,Eastern Illinois,11,2,7,12,73,27,TD,2,6,22,100,0,3,True,27,401012247
38,40101224713,Eastern Illinois,Arkansas,12,2,6,22,75,75,PUNT,2,3,45,58,58,6,False,17,401012247
39,40101224714,Arkansas,Eastern Illinois,13,2,3,45,15,85,PUNT,2,2,58,16,84,3,False,1,401012247
40,40101224715,Eastern Illinois,Arkansas,14,2,2,58,47,47,TD,2,2,22,0,0,2,True,47,401012247
41,40101224716,Arkansas,Eastern Illinois,15,2,2,22,21,79,TD,2,1,20,100,0,4,True,79,401012247
42,40101224717,Eastern Illinois,Arkansas,16,2,1,20,75,75,PUNT,2,0,52,74,74,3,False,1,401012247
43,40101224718,Arkansas,Eastern Illinois,17,2,0,52,43,57,TD,2,0,45,100,0,1,True,57,401012247
44,40101224719,Eastern Illinois,Arkansas,18,2,0,45,82,82,END OF HALF,2,0,0,86,86,1,False,-4,401012247
45,40101224720,Arkansas,Eastern Illinois,19,3,15,0,26,74,PUNT,3,13,40,33,67,3,False,7,401012247
46,40101224721,Eastern Illinois,Arkansas,20,3,13,40,53,53,FUMBLE,3,11,31,35,35,6,False,18,401012247
47,40101224722,Arkansas,Eastern Illinois,21,3,11,31,95,5,TD,3,10,54,100,0,2,True,5,401012247
48,40101224723,Eastern Illinois,Arkansas,22,3,10,54,85,85,TD,3,5,51,0,0,14,True,85,401012247
49,40101224724,Arkansas,Eastern Illinois,23,3,5,51,36,64,FG,3,0,40,95,5,10,True,59,401012247
50,40101224725,Eastern Illinois,Arkansas,24,3,0,40,77,77,PUNT,4,12,34,51,51,8,False,26,401012247
51,40101224726,Arkansas,Eastern Illinois,25,4,12,34,5,95,PUNT,4,10,2,12,88,4,False,7,401012247
52,40101224727,Eastern Illinois,Arkansas,26,4,10,2,37,37,TD,4,7,51,0,0,4,True,37,401012247
53,40101224728,Arkansas,Eastern Illinois,27,4,7,51,28,72,TD,4,3,48,100,0,8,True,72,401012247
54,40101224729,Eastern Illinois,Arkansas,28,4,3,48,75,75,PUNT,4,1,39,71,71,3,False,4,401012247
55,40101224730,Arkansas,Eastern Illinois,29,4,1,39,28,72,Uncategorized,4,0,0,21,79,3,False,-7,401012247
56,4010122481,Washington,Auburn,1,1,15,0,75,75,PUNT,1,13,57,75,75,3,False,0,401012248
57,4010122482,Auburn,Washington,2,1,13,57,64,36,TD,1,11,45,100,0,6,True,36,401012248
58,4010122483,Washington,Auburn,3,1,11,45,75,75,INT,1,9,42,53,53,6,False,22,401012248
59,4010122484,Auburn,Washington,4,1,9,42,37,63,FG,1,5,39,86,14,11,True,49,401012248
60,4010122485,Washington,Auburn,5,1,5,39,75,75,FG,1,2,59,14,14,7,True,61,401012248
61,4010122486,Auburn,Washington,6,1,2,59,24,76,MISSED FG,1,0,29,85,15,8,False,61,401012248
62,4010122487,Washington,Auburn,7,1,0,29,80,80,PUNT,2,14,41,76,76,3,False,4,401012248
63,4010122488,Auburn,Washington,8,2,14,41,27,73,FG,2,10,35,90,10,12,True,63,401012248
64,4010122489,Washington,Auburn,9,2,10,35,75,75,FG,2,5,57,11,11,9,True,64,401012248
65,40101224810,Auburn,Washington,10,2,5,57,27,73,FG,2,1,23,65,35,10,True,38,401012248
66,40101224811,Washington,Auburn,11,2,1,23,75,75,TD,2,0,43,0,0,4,True,75,401012248
67,40101224812,Auburn,Washington,12,2,0,43,25,75,END OF HALF,2,0,0,49,51,4,False,24,401012248
68,40101224813,Auburn,Washington,13,3,15,0,18,82,PUNT,3,13,5,33,67,4,False,15,401012248
69,40101224814,Washington,Auburn,14,3,13,5,73,73,MISSED FG,3,9,57,23,23,9,False,50,401012248
70,40101224815,Auburn,Washington,15,3,9,57,23,77,MISSED FG,3,7,3,63,37,8,False,40,401012248
71,40101224816,Washington,Auburn,16,3,7,3,63,63,FUMBLE,3,5,15,3,3,6,False,35,401012248
72,40101224817,Auburn,Washington,17,3,5,15,20,80,PUNT,3,3,52,25,75,3,False,5,401012248
73,40101224818,Washington,Auburn,18,3,3,52,42,42,FG,4,14,6,13,13,9,True,49,401012248
74,40101224819,Auburn,Washington,19,4,14,6,25,75,PUNT,4,12,13,28,72,6,False,3,401012248
75,40101224820,Washington,Auburn,20,4,12,13,68,68,PUNT,4,9,49,59,59,3,False,9,401012248
76,40101224821,Auburn,Washington,21,4,9,49,24,76,TD,4,6,15,100,0,10,True,76,401012248
77,40101224822,Washington,Auburn,22,4,6,15,75,75,DOWNS,4,1,31,43,43,10,False,22,401012248
78,40101224823,Auburn,Washington,23,4,1,31,53,47,Uncategorized,4,0,0,63,37,4,False,10,401012248
79,4010122491,Florida,Charleston Southern,1,1,15,0,25,75,TD,1,12,40,100,0,8,True,75,401012249
80,4010122492,Charleston Southern,Florida,2,1,12,40,75,75,PUNT,1,10,59,78,78,3,False,-3,401012249
81,4010122493,Florida,Charleston Southern,3,1,10,59,32,68,FG,1,8,3,96,4,8,True,64,401012249
82,4010122494,Charleston Southern,Florida,4,1,8,3,64,64,PUNT,1,5,55,62,62,3,False,2,401012249
83,4010122495,Florida,Charleston Southern,5,1,5,55,26,74,PUNT,1,2,37,49,51,7,False,23,401012249
84,4010122496,Charleston Southern,Florida,6,1,2,37,85,85,PUNT,1,0,50,89,89,3,False,-4,401012249
85,4010122497,Florida,Charleston Southern,7,1,0,50,57,43,TD,2,13,14,100,0,6,True,43,401012249
86,4010122498,Charleston Southern,Florida,8,2,13,14,80,80,DOWNS,2,11,29,71,71,4,False,9,401012249
87,4010122499,Florida,Charleston Southern,9,2,11,29,71,29,TD,2,9,51,100,0,4,True,29,401012249
88,40101224910,Charleston Southern,Florida,10,2,9,51,75,75,PUNT,2,8,6,77,77,3,False,-2,401012249
89,40101224911,Florida,Charleston Southern,11,2,8,6,30,70,TD,2,5,49,100,0,7,True,70,401012249
90,40101224912,Charleston Southern,Florida,12,2,5,49,75,75,PUNT,2,3,31,72,72,3,False,3,401012249
91,40101224913,Florida,Charleston Southern,13,2,3,31,35,65,TD,2,1,30,100,0,5,True,65,401012249
92,40101224914,Charleston Southern,Florida,14,2,1,30,83,83,MISSED FG,2,0,0,6,6,6,False,77,401012249
93,40101224916,Charleston Southern,Florida,15,3,15,0,75,75,FUMBLE,3,12,49,64,64,4,False,11,401012249
94,40101224917,Florida,Charleston Southern,16,3,12,49,86,14,FG,3,10,53,86,14,4,True,0,401012249
95,40101224918,Charleston Southern,Florida,17,3,10,53,88,88,PUNT,3,9,23,82,82,3,False,6,401012249
